name;description;price
Barrette RAM 8Go G.Skill;Sequi quia qui praesentium natus. Aspernatur recusandae molestiae aut. Autem molestiae non ipsa voluptatibus. Porro quas deleniti nulla aut qui earum.;286
Clavier Corsair K70;Quod officiis enim aliquam magnam impedit sint autem. In esse consequuntur est. Impedit illum ipsa quam qui et. Nihil et eum nam veniam.;22
Clavier Roccat Ryos;Velit odio et dolor illo repellendus eum sit. Voluptates itaque et saepe voluptates eaque error est. Qui sequi ea quod ipsa sint.;888
Processeur AMD Ryzen Threadripper 3990X (2,9 GHz);Voluptatem placeat repudiandae libero occaecati delectus. Praesentium beatae sed esse sunt. Magnam qui magnam fugiat.;807
Processeur Intel Celeron G4920;Autem sint debitis aliquam fugiat dolorem odio molestiae soluta. Aut pariatur explicabo alias natus qui unde. Sint suscipit vel qui dignissimos.;425
Processeur Intel Core i9 10980XE Extreme Edition;Repudiandae ipsa omnis autem. Dolorem fugiat tempora in ab. In hic architecto nostrum quam aliquid recusandae. Magnam atque dolorum vel libero necessitatibus inventore.;571
RTX 2080 Ti Aorus;Omnis et omnis voluptates quod recusandae nihil. Voluptatem neque dolorem est vel in doloremque. Eveniet magni fuga quidem facilis sed iure impedit eaque.;903
RTX 2080 Ti Founder Edition;Perspiciatis iste id possimus et et. Rerum impedit voluptates minima. Aperiam enim dicta sit neque. Nostrum eius consequatur quidem eveniet dolor. Dolores laudantium aut non ut alias nostrum.;325
RTX 2080 Ti Strix A11G;Voluptatum veritatis incidunt consequuntur. Maiores magnam doloremque autem aut.;501
Souris Corsair Scimitar;Libero esse asperiores accusantium repellat qui sint. Odit odio qui sed et. Eum at ut molestiae mollitia aut quia.;637
Souris Roccat Kone;Est velit a at voluptate nihil enim modi qui. Ex eveniet dicta est cumque delectus temporibus est. Voluptatem cumque quis eum eius enim sed et. Repellendus perferendis pariatur illo sunt et.;963
écran ASUS ROG swift;Cum hic ipsa quae voluptas et eum esse. Perspiciatis qui pariatur non sed commodi cupiditate. Molestiae et quia corporis rerum quaerat praesentium.;124
